period,T,mean_mw,Speed,b,niu,delta_M,max_mw
1901-1905,1726,4.538888888888889,105339677.2156549,0.31902652358219774,0.2371515383063132,0.4388637748136592,6.6
1906-1910,1626,4.554545454545454,112627756.60656248,0.32681660874161245,0.2454018244769542,0.24787486734131364,7.1
1911-1915,1683,4.706666666666668,154843352.59957156,0.39675890784509077,0.2730389233031529,0.4425080699318019,6.7
1916-1920,1291,5.276923076923077,158228525.74025148,0.27928696286801186,0.3523450898905897,0.5399700009124506,6.4
1921-1925,1524,4.485714285714286,28050855.348560687,0.32072199607485014,0.1626294653494097,0.22516846129822543,6.1
1926-1930,1179,5.088888888888889,101610439.73590031,0.23375345840194028,0.2536383010476443,0.5266772280543179,6.1
1931-1935,1271,5.527272727272727,172772145.62321767,0.2573609760287935,0.26678082807449294,0.5729860977811073,6.6
1936-1940,1686,4.787179487179486,539370746.0894399,0.5384081456347614,0.2931569856229306,0.3524385738283054,7.7
1941-1945,1806,4.504651162790699,285057096.7158127,0.7038831217766834,0.29472995591054446,0.3323253402433049,6.8
1946-1950,1584,4.896153846153846,199927375.36946163,0.6510825846275536,0.30043486421515136,0.32909753743766135,6.3
1951-1955,1799,4.438028169014085,101843661.1650002,0.7348886899332567,0.3010711310017927,0.32399734771086514,5.8
1956-1960,1797,4.448,109253904.07559454,0.7791128468160874,0.29945304126588773,0.29477214556575915,5.9
1961-1965,1658,4.623529411764706,71509135.39995608,0.6630618970754605,0.24627838777104333,0.2882456531146427,5.8
1966-1970,1659,4.684848484848485,71774557.04454003,0.55351368663383,0.37833334746913566,0.3664865992508375,5.9
1971-1975,1751,4.226666666666666,26692251.245348606,0.4884966141435263,0.21509953089797262,0.21378245368100526,6.0
1976-1980,1557,3.9330508474576296,268945901.40605646,0.7077029675240156,0.3288388591893011,0.20740445850133984,7.4
1981-1985,1814,3.8907284768211907,87105485.35878116,0.9631789765262719,0.30668988499687,0.2406822865173111,5.8
1986-1990,1780,3.846929824561405,275795363.9395732,0.8464535008828178,0.3651755289164173,0.21510273153094345,7.1
1991-1995,1779,3.8181818181818206,60094026.031952135,1.1145257107062523,0.3026787965289278,0.1842755794430057,5.6
1996-2000,1803,3.779470198675497,57360626.51812041,1.25732858967924,0.2955969079300515,0.181020197139154,5.3
2001-2005,1822,3.848876404494385,91340341.68321523,1.0325510521629058,0.29413528868768096,0.20409709001373155,6.0
2006-2010,1798,3.846961325966851,75100368.1444003,1.1586136979170554,0.2892230961704855,0.22112631608634645,5.4
2011-2015,1801,3.8206250000000006,65630133.77529194,1.2232220696656089,0.29274435402841353,0.1882992511827596,5.4
2016-2020,1261,3.748214285714286,72980930.57748169,1.0182238255339988,0.3531618126347161,0.19936999487482918,5.6
